"ANYO","DEPTO","VARIABLE","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
2010,"SUCRE","PRECIP",2.49873417721519,31.7113924050633,79.1871794871795,120.053164556962,198.273417721519,252.862820512821,358.11125,315.567088607595,332.184810126582,292.988311688312,339.28051948052,203.392307692308
2011,"SUCRE","PRECIP",45.0325581395349,52.5772727272727,95.0309523809524,215.595238095238,231.860975609756,287.695,218.335714285714,235.290476190476,284.558974358974,274.641025641026,289.151282051282,163.710256410256
2012,"SUCRE","PRECIP",18.1131578947368,13.4526315789474,35.0815789473684,169.927272727273,204.378787878788,148.875757575758,175.412121212121,279.387878787879,170.028125,216.293333333333,102.41875,30.075
2013,"SUCRE","PRECIP",3.90625,27.10625,74.3375,97.55625,277.354545454545,234.15,173.275,432.6,299.5,294.6,397,148
2014,"SUCRE","PRECIP",12.91,32.52,76.97,112.935,213.19,201.35,76.42,215.84,191.28,187.02,NA,42.82
2007,"TOLIMA","PRECIP",111.419642857143,35.2189189189189,213.677678571429,326.188181818182,253.616363636364,83.4422018348624,116.398165137615,118.007407407407,66.6336538461538,345.580555555556,202.692452830189,210.14
2008,"TOLIMA","PRECIP",133.604464285714,181.377477477477,192.155140186916,246.543925233645,316.346296296296,125.110185185185,125.805504587156,221.685981308411,146.885981308411,235.472815533981,355.18640776699,146.117307692308
2009,"TOLIMA","PRECIP",212.621153846154,139.776,290.670707070707,197.649504950495,145.317,121.152525252525,40.0171717171717,84.319801980198,75.7295918367347,174.004081632653,174.782978723404,120.460606060606
2010,"TOLIMA","PRECIP",42.423717948718,101.720512820513,125.180536912752,365.857823129252,234.954304635762,166.182352941176,241.66038961039,72.8188679245283,175.921739130435,214.5,337.987857142857,196.408695652174
2011,"TOLIMA","PRECIP",91.0275,191.049242424242,231.687387387387,410.443518518519,206.639449541284,126.935849056604,87.6794117647059,73.995,108.440816326531,252.281443298969,335.323469387755,263.424
2012,"TOLIMA","PRECIP",178.790625,129.326041666667,170.596907216495,275.484693877551,128.469879518072,43.2945205479452,42.8784615384615,56.9507246376812,45.5840579710145,226.494285714286,155.738571428571,118.564285714286
2013,"TOLIMA","PRECIP",83.5209302325581,190.303614457831,164.923684210526,172.6425,269.3775,83.0213333333333,47.5953125,93.3918367346939,75.5692307692308,110,239.908333333333,171.890909090909
2014,"TOLIMA","PRECIP",123.795714285714,96.70875,127.66,100.4125,194.61,64.91,30.54,37.66,138.93,252.32,NA,159.77
2007,"VALLE","PRECIP",128.508823529412,55.4909090909091,191.308955223881,272.223880597015,249.823880597015,115.383823529412,159.685714285714,188.904615384615,179.446376811594,322.792857142857,214.825,240.466176470588
2008,"VALLE","PRECIP",156.776470588235,154.540579710145,167.592857142857,212.049275362319,239.442647058824,165.385294117647,148.673913043478,200.068115942029,160.105882352941,231.468115942029,257.194202898551,181.852173913043
2009,"VALLE","PRECIP",159.742647058824,125.585714285714,206.523188405797,155.211594202899,191.020588235294,184.544285714286,102.06,145.372857142857,117.685294117647,214.732352941176,189.619696969697,166.664179104478
2010,"VALLE","PRECIP",56.6840659340659,100.424456521739,115.144808743169,257.720540540541,211.567379679144,163.184239130435,230.39027027027,137.265555555556,204.429347826087,284.078571428571,404.01693989071,254.453631284916
2011,"VALLE","PRECIP",102.134444444444,189.745294117647,170.835971223022,323.401612903226,169.099137931034,138.48125,156.013888888889,100.467543859649,167.716822429907,319.961643835616,323.884057971014,267.023188405797
2012,"VALLE","PRECIP",193.222388059702,112.842424242424,185.709090909091,247.524193548387,149.093103448276,122.785,109.491935483871,139.912698412698,105.436507936508,270.847619047619,202.17868852459,148.118032786885
2013,"VALLE","PRECIP",61.0295081967213,165.416393442623,166.745161290323,178.977049180328,280.993548387097,97.2822580645161,97.4564516129032,160.433333333333,172.511111111111,191.669491525424,180.720689655172,188.192857142857
2014,"VALLE","PRECIP",97.5243859649123,121.149215686275,150.640384615385,165.418163265306,167.509375,80.635,76.3,121.81,146.45,331.16,NA,121.85
2007,"VAUPES","PRECIP",227.555555555556,79.5555555555556,362.522222222222,355.411111111111,371.722222222222,442.1,401.911111111111,322.766666666667,262.255555555556,279.522222222222,233.133333333333,247.266666666667
2008,"VAUPES","PRECIP",294.522222222222,206.655555555556,251.111111111111,249.222222222222,371.322222222222,385.766666666667,321.875,238.344444444444,221.977777777778,307.477777777778,156,163.7
2009,"VAUPES","PRECIP",302.211111111111,264.466666666667,260.211111111111,409.111111111111,390.625,435.333333333333,365,315.111111111111,261.111111111111,224.4625,211.444444444444,167.666666666667
2010,"VAUPES","PRECIP",110.444444444444,205.222222222222,264.444444444444,394.222222222222,393.344444444444,427.9,261.166666666667,243.733333333333,173.811111111111,196.466666666667,247.488888888889,220.155555555556
2011,"VAUPES","PRECIP",172.888888888889,203.888888888889,300.666666666667,312.122222222222,399.266666666667,389.788235294118,347.5,261.422222222222,288.611111111111,252.422222222222,254.888888888889,354.911111111111
2012,"VAUPES","PRECIP",216.122222222222,298.1125,424.428571428571,343.571428571429,439.655555555556,338.855555555556,321.3,288.788888888889,229.933333333333,291.744444444444,306.055555555556,271.8
2013,"VAUPES","PRECIP",202.555555555556,250.533333333333,339.7,326.344444444444,489.122222222222,404.333333333333,325,317,266,244.571428571429,323,293.8
2014,"VAUPES","PRECIP",200.98,268.43,140.03,359.08,385.67,515.59,422.12,347.7,206.81,303.47,NA,247.19
2007,"VICHADA","PRECIP",22.05,12.1,91.69,220.44,386.915,472.175,361.283333333333,385.589473684211,289.984210526316,245.095,131.94,94.4631578947368
2008,"VICHADA","PRECIP",18.5526315789474,30.515,39.795,136.711111111111,397.226315789474,405.388235294118,380.7,255.025,293.1,212.658333333333,195.666666666667,63
2009,"VICHADA","PRECIP",83.2473684210526,32.9052631578947,90.6944444444444,184.263157894737,189.022222222222,431.205882352941,481.883333333333,280.031578947368,244.978947368421,230.015,92.43,24.2666666666667
2010,"VICHADA","PRECIP",12.9105263157895,67.0166666666667,113.427777777778,315.763888888889,416.194736842105,404.270588235294,409.527777777778,306.575,249.46,192.5225,224.478947368421,92.7684210526316
2011,"VICHADA","PRECIP",49.475,58.6631578947368,92.8878787878788,305.205555555556,477.622857142857,442.690909090909,404.019047619048,302.585,264.07,226.885,201.226315789474,119.352631578947
2012,"VICHADA","PRECIP",31.0210526315789,46.2166666666667,171.505555555556,336.347368421053,371.363157894737,312.373684210526,440.268421052632,295.252631578947,260.931578947368,201.205263157895,86.8473684210526,59.945
2013,"VICHADA","PRECIP",12.0947368421053,34.4157894736842,117.447368421053,174.7,332.421052631579,395.326315789474,320.04,366.088888888889,226.877777777778,184.88125,118.072222222222,58.9823529411765
2014,"VICHADA","PRECIP",10.0605882352941,22.3677777777778,37.1793333333333,240.550714285714,210.43,529.24,418.3,278.65,258.67,258.67,NA,90.94
2007,"AMAZONAS","TEMP",25.9,27.1333333333333,25.8666666666667,26.1,25.65,25.4,25.5,25.8666666666667,26,26.45,25.8333333333333,25.7
2008,"AMAZONAS","TEMP",25.5666666666667,25.5,25.3666666666667,25.8,25.15,25.2,26.5,26.35,26.0666666666667,26.0666666666667,25.6666666666667,25.2333333333333
2009,"AMAZONAS","TEMP",25.05,25.55,26,26.2,26.2,25.5,25.9,26.6,27.4,27,26.85,26.1
2010,"AMAZONAS","TEMP",26.1,26.82,27.08,26.85,26.5,26.15,25.14,26.46,27.22,26.98,26.34,26.26
2011,"AMAZONAS","TEMP",26.2,26.0333333333333,25.9,26.1333333333333,26.2,26.15,25.8666666666667,26.1666666666667,26.9,27.15,27.05,26.4
2012,"AMAZONAS","TEMP",26.4,26.15,26.25,26,26.4,25.95,25.3,26.3,26.6,26.8,27.2,26.2
2013,"AMAZONAS","TEMP",26.3,25.9,26.7,26.7,26.2,26,25.3,25.4,NA,NA,NA,NA
2007,"ANTIOQUIA","TEMP",22.9450980392157,22.842,22.6607843137255,22.6117647058824,22.354,22.7607843137255,22.594,22.176,22.42,21.776,22.012,21.263829787234
2008,"ANTIOQUIA","TEMP",21.4936170212766,21.5255319148936,21.5,21.9021276595745,21.7404255319149,21.963829787234,21.595652173913,21.6106382978723,21.8760869565217,21.6354166666667,21.5326086956522,21.6021276595745
2009,"ANTIOQUIA","TEMP",21.6622222222222,21.7590909090909,21.7282608695652,22.1022222222222,22.1434782608696,21.7255813953488,22.928,22.8020833333333,23.0617021276596,22.39375,22.3042553191489,22.4979166666667
2010,"ANTIOQUIA","TEMP",22.7159574468085,23.3557894736842,23.4164948453608,22.8835051546392,22.7896907216495,22.3666666666667,21.6697916666667,22.1030303030303,21.5292929292929,21.6177083333333,21.1909090909091,21.1636363636364
2011,"ANTIOQUIA","TEMP",21.5372340425532,21.5715789473684,21.4555555555556,21.3802325581395,22.3739726027397,22.4130434782609,22.295,22.1078431372549,22.0636363636364,21.1282051282051,21.1487179487179,21.3162162162162
2012,"ANTIOQUIA","TEMP",21.4194444444444,22.1307692307692,22.2447368421053,21.8324324324324,22.1666666666667,22.2842105263158,22.3947368421053,22.2410256410256,22.5205128205128,21.6777777777778,22.0771428571429,21.9076923076923
2013,"ANTIOQUIA","TEMP",22.327027027027,22.0289473684211,22.4684210526316,22.4289473684211,21.7657894736842,22.3894736842105,21.9666666666667,21.8457142857143,22.1615384615385,21.8277777777778,21.5222222222222,21.5171428571429
2014,"ANTIOQUIA","TEMP",22.0147058823529,22.3193548387097,22.4333333333333,22.7047619047619,22.3333333333333,22.0125,NA,NA,NA,NA,NA,NA
2007,"ARAUCA","TEMP",26.6333333333333,27.4333333333333,27.1666666666667,26.7666666666667,26.0666666666667,25.4333333333333,25.3333333333333,25.4666666666667,25.5333333333333,25.7333333333333,26.1,25.9
2008,"ARAUCA","TEMP",26,26.3666666666667,26.7,26.3666666666667,25.4333333333333,25.0333333333333,24.7333333333333,25.0333333333333,25.1666666666667,26,26,25.9666666666667
